Address,LAT,LONG,Price_per_perch,Road,City,School,Hospital,index
,6.787124259,79.98805012,5.59,850.00,4447.00,7396.00,1340.00,116
,6.777630333,79.99439709,6.19,500.00,5067.00,8105.00,2232.00,117
,6.781823852,80.0013979,5.40,300.00,5850.00,8319.00,2852.00,118
,6.782872805,79.99759655,5.86,370.00,5435.00,8074.00,2416.00,119
,6.784806392,79.98393851,5.97,500.00,3950.00,7068.00,982.00,120
,6.792132429,79.97831699,6.96,950.00,3578.00,6298.00,698.00,121
,6.767162433,79.94474008,7.66,260.00,1413.00,4437.00,4056.00,122
,6.787733433,79.98521557,5.14,500.00,4153.00,7136.00,939.00,123
,6.77855233,79.95082955,9.17,110.00,227.00,3981.00,2922.00,124
,6.780542246,79.9518969,8.62,450.00,368.00,3950.00,2753.00,125
,6.764412817,79.94527898,7.51,140.00,1649.00,4725.00,4172.00,126
,6.77649711,79.94976847,9.19,400.00,313.00,4032.00,3105.00,127
,6.766230194,79.94719349,10.55,50.00,1451.00,4679.00,3582.00,128
,6.78362866,79.95002132,13.73,450.00,513.00,3590.00,2909.00,129
,6.822253468,79.90802963,13.98,450.00,1168.00,2930.00,550.00,130
Makandana East       ,6.777049762,79.94754098,10.75,300.00,279.00,3806.00,3321.00,131
,6.780970371,79.94496606,11.99,270.00,480.00,3303.00,2803.00,132
,6.78079991,79.94475149,9.73,350.00,495.00,3297.00,3529.00,133
,6.774944854,79.94622768,8.89,300.00,555.00,3865.00,3534.00,134
,6.775401186,79.94391699,9.85,120.00,694.00,3654.00,3760.00,135
,6.774402953,79.94444256,10.40,183.00,725.00,3777.00,3741.00,136
,6.775961147,79.94290784,7.98,230.00,755.00,3534.00,3849.00,137
,6.774370347,79.94371444,9.35,320.00,785.00,3727.00,3818.00,138
,6.776599616,79.94175567,8.20,350.00,843.00,3397.00,3729.00,139
,6.774144065,79.94188301,9.30,700.00,959.00,3620.00,3965.00,140
,6.773381411,79.94211089,6.99,500.00,991.00,3703.00,4024.00,141
,6.779252859,79.93968812,8.29,630.00,1023.00,3023.00,3355.00,142
,6.776252166,79.93984716,9.05,450.00,1057.00,3297.00,3646.00,143
,6.784336955,79.93895791,7.68,550.00,1246.00,2554.00,2852.00,144
,6.776536443,79.93758875,7.92,740.00,1291.00,3128.00,3493.00,145
Batuwandara North    ,6.775434005,79.9423784,9.18,350.00,835.00,3541.00,3875.00,146
,6.774096855,79.94239991,9.61,350.00,916.00,3659.00,3967.00,147
,6.770985895,79.94518941,7.57,450.00,999.00,4123.00,3811.00,148
,6.776257975,79.94027504,8.57,500.00,1011.00,3325.00,3670.00,149
,6.7700107,79.94747457,7.65,650.00,1030.00,4368.00,3635.00,150
,6.771305515,79.94383758,6.70,750.00,1039.00,4003.00,3933.00,151
,6.770145102,79.94557973,6.00,450.00,1069.00,4224.00,3814.00,152
,6.769579564,79.94400924,7.27,550.00,1197.00,4170.00,3998.00,153
,6.76962218,79.94392341,7.53,540.00,1197.00,4160.00,4005.00,154
,6.768368899,79.9471953,8.17,350.00,1216.00,4490.00,3753.00,155
,6.767505931,79.9455059,7.12,450.00,1351.00,4454.00,3964.00,156
,6.76723567,79.94415944,6.26,600.00,1428.00,4394.00,4108.00,157
,6.766467364,79.94615802,5.67,520.00,1445.00,4590.00,3963.00,158
Madapatha            ,6.766873963,79.93186065,11.79,200.00,133.00,3849.00,3575.00,159
,6.765619852,79.93026581,9.04,250.00,149.00,3939.00,4374.00,160
,6.768880538,79.9300034,10.10,165.00,233.00,3580.00,3812.00,161
,6.765795011,79.92843579,8.54,560.00,277.00,3879.00,4320.00,162
,6.769323542,79.93189818,9.76,190.00,303.00,3589.00,3512.00,163
,6.766164383,79.92785769,10.29,400.00,323.00,3828.00,3770.00,164
,6.763970172,79.9313784,9.04,230.00,335.00,4147.00,3878.00,165
,6.769818885,79.93155122,9.89,150.00,340.00,3525.00,3949.00,166
,6.76450789,79.92870781,9.09,270.00,344.00,4026.00,4466.00,167
,6.767286192,79.92738125,9.33,800.00,368.00,3696.00,3840.00,168
,6.76825652,79.92686621,6.82,950.00,449.00,3581.00,4026.00,169
,6.771583305,79.93175569,7.98,500.00,535.00,3345.00,3765.00,170
,6.772126823,79.93335929,7.77,450.00,654.00,3349.00,3759.00,171
Suwarapola West      ,6.796927013,79.91127805,15.65,100.00,117.00,1275.00,1509.00,172
,6.798282252,79.90989958,14.21,120.00,228.00,1393.00,1572.00,173
,6.795581797,79.91138233,13.20,240.00,252.00,1313.00,1585.00,174
,6.798437072,79.90910402,11.43,250.00,318.00,1478.00,1646.00,175
,6.795134352,79.91079761,12.18,270.00,319.00,1393.00,1667.00,176
,6.794782787,79.91186513,10.77,100.00,335.00,1302.00,1600.00,177
,6.794905302,79.91052402,11.77,280.00,355.00,1431.00,1707.00,178
,6.79733635,79.90835691,11.89,190.00,396.00,1580.00,1772.00,179
,6.794521777,79.91005195,11.06,180.00,417.00,1496.00,1775.00,180
,6.794464494,79.90936297,10.68,150.00,464.00,1569.00,1840.00,181
,6.794116497,79.90962736,10.09,260.00,480.00,1558.00,1840.00,182
,6.792801691,79.90939575,10.87,270.00,620.00,1648.00,1952.00,183
,6.792162936,79.91272272,9.64,340.00,633.00,1383.00,1742.00,184
,6.791117893,79.91353338,9.35,600.00,765.00,1396.00,1979.00,185
,6.790240675,79.91149072,8.68,350.00,841.00,1627.00,1994.00,186
Egodawatta           ,6.851244713,79.90747916,9.58,220.00,892.00,2545.00,817.00,187
,6.850349926,79.90824091,8.36,500.00,905.00,2434.00,818.00,188
,6.848762739,79.90606295,8.79,130.00,951.00,2628.00,1216.00,189
,6.851042321,79.9068247,9.27,290.00,961.00,2607.00,889.00,190
,6.849316657,79.90875589,6.55,560.00,964.00,2349.00,867.00,191
,6.850413839,79.90720021,8.62,500.00,978.00,2547.00,899.00,192
,6.847356636,79.90798342,7.84,500.00,983.00,2390.00,1094.00,193
Makuludoowa          ,6.814396771,79.93402406,13.36,120.00,134.00,2057.00,1627.00,194
,6.814433707,79.93328008,16.29,120.00,196.00,2009.00,1560.00,195
,6.813362555,79.93511213,14.40,150.00,219.00,2052.00,1679.00,196
,6.813935067,79.932285,12.67,230.00,320.00,1898.00,1437.00,197
,6.81326098,79.93195021,12.15,420.00,392.00,1816.00,1365.00,198
,6.812042933,79.93696083,10.59,190.00,434.00,2105.00,1803.00,199
,6.813914016,79.93009165,9.59,130.00,548.00,1764.00,1239.00,200
,6.813320313,79.92883846,9.96,360.00,701.00,1641.00,1590.00,201
Mampe North          ,6.808971527,79.92597168,14.69,240.00,408.00,1068.00,601.00,202
,6.808571098,79.92388277,13.96,170.00,454.00,958.00,478.00,203
,6.809944261,79.9243469,14.00,350.00,560.00,1118.00,620.00,204
,6.809201249,79.92271771,12.18,180.00,591.00,1012.00,549.00,205
,6.811992179,79.92408732,8.65,340.00,684.00,937.00,595.00,206
Rattanapitiya        ,6.851245527,79.8984505,19.27,120.00,334.00,2354.00,1824.00,207
,6.849191005,79.9010192,20.20,370.00,399.00,2679.00,1648.00,208
,6.847144626,79.90126311,20.12,210.00,439.00,2897.00,1745.00,209
Batakettara North,6.785240342,79.92062266,6.28,220.00,1701.00,1665.00,2122.00,210
,6.786113944,79.92407735,8.15,350.00,1747.00,1570.00,2018.00,211
,6.786199173,79.92553647,5.91,450.00,1759.00,1590.00,2027.00,212
,6.786028714,79.92669518,7.80,800.00,1805.00,1642.00,2069.00,213
Mahalwarawa,6.839683503,79.95874011,13.84,290.00,499.00,734.00,1029.00,214
,6.840112484,79.95404836,12.39,250.00,582.00,447.00,731.00,215
,6.832716729,79.96097171,8.06,300.00,1313.00,1496.00,1903.00,216
,6.833803297,79.96373975,7.93,360.00,1329.00,1590.00,1988.00,217
,6.789738531,79.92731996,8.52,300.00,1432.00,1283.00,1688.00,218
Kesbewa South,6.788847792,79.9381181,10.24,380.00,830.00,2162.00,2417.00,219
